字段组,字段名,说明,新增行覆盖率,单位
环境-气候（WorldClim 2.1，气候背景）,bio_9,生物气候变量 bio9（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_10,生物气候变量 bio10（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_11,生物气候变量 bio11（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_12,生物气候变量 bio12（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_13,生物气候变量 bio13（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_14,生物气候变量 bio14（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_15,生物气候变量 bio15（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_16,生物气候变量 bio16（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_17,生物气候变量 bio17（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_18,生物气候变量 bio18（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,bio_19,生物气候变量 bio19（19 环，WorldClim 2.1 2.5 弧分≈5km；温度项×10 或标准单位）,新增行 100%,—
环境-气候（WorldClim 2.1，气候背景）,tavg_01,1 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_02,2 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_03,3 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_04,4 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_05,5 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_06,6 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_07,7 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_08,8 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_09,9 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_10,10 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_11,11 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,tavg_12,12 月平均气温（°C×10）,新增行 100%,°C×10
环境-气候（WorldClim 2.1，气候背景）,prec_01,1 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_02,2 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_03,3 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_04,4 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_05,5 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_06,6 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_07,7 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_08,8 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_09,9 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_10,10 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_11,11 月降水量（mm）,新增行 100%,mm
环境-气候（WorldClim 2.1，气候背景）,prec_12,12 月降水量（mm）,新增行 100%,mm
环境-土壤（SoilGrids 2.0，0-5cm）,sg_bdod,容重（kg/dm³）,新增行 76%,—
环境-土壤（SoilGrids 2.0，0-5cm）,sg_cec,阳离子交换量（mmol(c)/kg）,新增行 73%,—
环境-土壤（SoilGrids 2.0，0-5cm）,sg_clay,黏粒（g/kg）,新增行 73%,—
环境-土壤（SoilGrids 2.0，0-5cm）,sg_nitrogen,全氮（g/kg）【源文件损坏，本轮缺口】,—,—
环境-土壤（SoilGrids 2.0，0-5cm）,sg_ph,pH×10,新增行 73%,—
环境-土壤（SoilGrids 2.0，0-5cm）,sg_sand,砂粒（g/kg）,新增行 73%,—
环境-土壤（SoilGrids 2.0，0-5cm）,sg_silt,粉粒（g/kg）,新增行 73%,—
环境-土壤（SoilGrids 2.0，0-5cm）,sg_soc,土壤有机碳（g/kg，dg/kg×10）,新增行 76%,—
地形,elev_m,高程（m；SRTM 90m 南部 + WorldClim elev 兜底北部【本轮 SRTM 图幅缺口】）,新增行 58%,—
地形,slope_deg,坡度（°，仅基线 234 行有）,—,°
地形,aspect_deg,坡向（°，仅基线行）,—,°
